all_checkpoint_detector_flip,art_install_pass,behavior_ioc_pass,condition,cumulative_art_install_pass,cumulative_behavior_ioc_pass,cumulative_detector_flip,cumulative_edit_applied_pass,cumulative_repack_pass,cumulative_smoke_pass,detector_flip,edit_applied_pass,failure_category,ineligible_reason,latent_cosine,latent_delta_l2,matching_detector_flip,matching_malware_probability_delta,matching_modified_malware_probability,matching_original_malware_probability,realized_delta_l2,relative_target_distance,repack_pass,seed,smoke_pass,source_id,stage,status
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,0.03889653831720352,0.13589239120483398,False,2.384185791015625e-07,0.9982218146324158,0.9982215762138367,0.007898585870862007,0.9994282722473145,True,42,True,source_065,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,-0.003100734669715166,0.13589239120483398,False,-7.152557373046875e-07,0.9982208609580994,0.9982215762138367,0.008654075674712658,1.0022228956222534,True,42,True,source_065,gated,complete
False,True,True,destructive_upper,True,True,False,True,True,True,False,True,,,0.060917116701602936,0.13589239120483398,False,-3.445148468017578e-05,0.9981871247291565,0.9982215762138367,0.7196431756019592,5.329078197479248,True,42,True,source_065,gated,complete
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,-0.003100734669715166,0.13589239120483398,False,-7.152557373046875e-07,0.9982208609580994,0.9982215762138367,0.008654075674712658,1.0022228956222534,True,42,True,source_065,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.03301650285720825,0.13589239120483398,False,-4.4405460357666016e-05,0.998177170753479,0.9982215762138367,0.0604298934340477,1.0809184312820435,True,42,True,source_065,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,0.037791211158037186,0.13645868003368378,False,-7.152557373046875e-07,0.9980218410491943,0.9980225563049316,0.007898585870862007,0.9994876384735107,True,42,True,source_039,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,0.0011364457895979285,0.13645868003368378,False,-1.1920928955078125e-06,0.9980213642120361,0.9980225563049316,0.008654075674712658,1.0019370317459106,True,42,True,source_039,gated,complete
False,True,True,destructive_upper,True,True,False,True,True,True,False,True,,,0.061118967831134796,0.13645868003368378,False,7.957220077514648e-05,0.9981021285057068,0.9980225563049316,0.7196431756019592,5.307291030883789,True,42,True,source_039,gated,complete
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,0.014134485274553299,0.13645868003368378,False,7.152557373046875e-07,0.998023271560669,0.9980225563049316,0.006315240636467934,1.00041663646698,True,42,True,source_039,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.033537574112415314,0.13645868003368378,False,-9.059906005859375e-06,0.9980134963989258,0.9980225563049316,0.041331976652145386,1.0350971221923828,True,42,True,source_039,gated,complete
False,True,True,latent_cosine,True,False,False,True,True,False,False,True,,,0.11081885546445847,0.12688066065311432,False,-3.0517578125e-05,0.9870152473449707,0.9870457649230957,0.004182734526693821,0.9968852996826172,True,42,False,source_008,gated,complete
False,True,True,semantics_preserving,True,False,False,True,True,False,False,True,,,-0.018650704994797707,0.12688066065311432,False,-1.0788440704345703e-05,0.9870349764823914,0.9870457649230957,0.004656211473047733,1.0013569593429565,True,42,False,source_008,gated,complete
False,True,True,destructive_upper,True,False,False,True,True,False,False,True,,,-0.02684713900089264,0.12688066065311432,False,-0.001955747604370117,0.9850900173187256,0.9870457649230957,0.3987055718898773,3.3231306076049805,True,42,False,source_008,gated,complete
False,True,True,random_direction,True,False,False,True,True,False,False,True,,,-0.018650704994797707,0.12688066065311432,False,-1.0788440704345703e-05,0.9870349764823914,0.9870457649230957,0.004656211473047733,1.0013569593429565,True,42,False,source_008,gated,complete
False,True,True,random_method,True,False,False,True,True,False,False,True,,,0.11127329617738724,0.12688066065311432,False,-6.920099258422852e-05,0.9869765639305115,0.9870457649230957,0.012084735557436943,0.9939191937446594,True,42,False,source_008,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,0.04163019359111786,0.13593831658363342,False,-1.424551010131836e-05,0.9948241710662842,0.9948384165763855,0.005588865373283625,0.9991332292556763,True,42,True,source_061,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,0.003462686901912093,0.13593831658363342,False,-3.2782554626464844e-05,0.994805634021759,0.9948384165763855,0.006194908171892166,1.000880241394043,True,42,True,source_061,gated,complete
,,,destructive_upper,,,,,,,,,,constructor_excluded_from_destructive_upper_bound,,,,,,,,,,42,,source_061,,ineligible
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,0.01551677007228136,0.13593831658363342,False,-1.1324882507324219e-05,0.9948270916938782,0.9948384165763855,0.004671307280659676,1.0000572204589844,True,42,True,source_061,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,-0.00287913647480309,0.13593831658363342,False,-1.5676021575927734e-05,0.9948227405548096,0.9948384165763855,0.2598598897457123,2.1599137783050537,True,42,True,source_061,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,0.04974305257201195,0.13752901554107666,False,-6.252527236938477e-05,0.9800305962562561,0.9800931215286255,0.0046486081555485725,0.9988894462585449,True,42,True,source_045,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,0.00919631402939558,0.13752901554107666,False,-3.0338764190673828e-05,0.9800627827644348,0.9800931215286255,0.00502280006185174,1.000331163406372,True,42,True,source_045,gated,complete
False,True,True,destructive_upper,True,True,False,True,True,True,False,True,,,0.06711068004369736,0.13752901554107666,False,-0.0010241866111755371,0.97906893491745,0.9800931215286255,0.7067594528198242,5.16908073425293,True,42,True,source_045,gated,complete
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,0.00919631402939558,0.13752901554107666,False,-3.0338764190673828e-05,0.9800627827644348,0.9800931215286255,0.00502280006185174,1.000331163406372,True,42,True,source_045,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.04892069101333618,0.13752901554107666,False,-1.341104507446289e-05,0.980079710483551,0.9800931215286255,0.011196467094123363,0.9993311762809753,True,42,True,source_045,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,-0.004484157543629408,0.13596585392951965,False,-6.41942024230957e-05,0.9878563284873962,0.9879205226898193,0.0034904135391116142,1.0004445314407349,True,42,True,source_025,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,-0.035039063543081284,0.13596585392951965,False,-1.8477439880371094e-06,0.9879186749458313,0.9879205226898193,0.003979527857154608,1.0014528036117554,True,42,True,source_025,gated,complete
False,True,False,destructive_upper,True,False,False,True,True,True,False,True,,,0.0628197118639946,0.13596585392951965,False,0.0013968348503112793,0.9893173575401306,0.9879205226898193,0.73975670337677,5.46975564956665,True,42,True,source_025,gated,complete
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,-0.004484157543629408,0.13596585392951965,False,-6.41942024230957e-05,0.9878563284873962,0.9879205226898193,0.0034904135391116142,1.0004445314407349,True,42,True,source_025,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.04751606658101082,0.13596585392951965,False,5.1081180572509766e-05,0.9879716038703918,0.9879205226898193,0.03231002017855644,1.016802191734314,True,42,True,source_025,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,0.037791211158037186,0.13645868003368378,False,-7.152557373046875e-07,0.9980218410491943,0.9980225563049316,0.007898585870862007,0.9994876384735107,True,42,True,source_030,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,0.0011364442761987448,0.13645868003368378,False,-1.1920928955078125e-06,0.9980213642120361,0.9980225563049316,0.008654075674712658,1.0019370317459106,True,42,True,source_030,gated,complete
False,True,True,destructive_upper,True,True,False,True,True,True,False,True,,,0.061118967831134796,0.13645868003368378,False,7.957220077514648e-05,0.9981021285057068,0.9980225563049316,0.7196431756019592,5.307291030883789,True,42,True,source_030,gated,complete
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,-0.02088281512260437,0.13645868003368378,False,1.5497207641601562e-06,0.9980241060256958,0.9980225563049316,0.005815763957798481,1.0017966032028198,True,42,True,source_030,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.013525208458304405,0.13645868003368378,False,-8.374452590942383e-05,0.9979388117790222,0.9980225563049316,0.1290179044008255,1.3668732643127441,True,42,True,source_030,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,0.039705969393253326,0.13631373643875122,False,2.384185791015625e-07,0.9981282353401184,0.9981279969215393,0.007898585870862007,0.9993779063224792,True,42,True,source_063,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,0.000592925411183387,0.13631373643875122,False,-1.0728836059570312e-06,0.9981269240379333,0.9981279969215393,0.008654075674712658,1.0019757747650146,True,42,True,source_063,gated,complete
False,True,True,destructive_upper,True,True,False,True,True,True,False,True,,,0.0636632964015007,0.13631373643875122,False,8.64863395690918e-05,0.9982144832611084,0.9981279969215393,0.7196431756019592,5.310270309448242,True,42,True,source_063,gated,complete
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,0.012231864035129547,0.13631373643875122,False,4.76837158203125e-07,0.9981284737586975,0.9981279969215393,0.006315240636467934,1.0005064010620117,True,42,True,source_063,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.04346747323870659,0.13631373643875122,False,-3.337860107421875e-06,0.9981246590614319,0.9981279969215393,0.007290053181350231,0.9991050362586975,True,42,True,source_063,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,-0.007312391418963671,0.10676824301481247,False,-0.0003763437271118164,0.9923964142799377,0.9927727580070496,0.003416827181354165,1.0007458925247192,True,42,True,source_026,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,-0.06690021604299545,0.10676824301481247,False,-0.0005353689193725586,0.992237389087677,0.9927727580070496,0.003726825350895524,1.002940058708191,True,42,True,source_026,gated,complete
,,,destructive_upper,,,,,,,,,,constructor_excluded_from_destructive_upper_bound,,,,,,,,,,42,,source_026,,ineligible
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,-0.06690021604299545,0.10676824301481247,False,-0.0005353689193725586,0.992237389087677,0.9927727580070496,0.003726825350895524,1.002940058708191,True,42,True,source_026,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.059791646897792816,0.10676824301481247,False,-3.5762786865234375e-07,0.9927724003791809,0.9927727580070496,0.031052609905600548,1.0246018171310425,True,42,True,source_026,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,0.04974304884672165,0.13752901554107666,False,-6.252527236938477e-05,0.9800305962562561,0.9800931215286255,0.0046486081555485725,0.9988894462585449,True,42,True,source_064,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,0.009196314960718155,0.13752901554107666,False,-3.0338764190673828e-05,0.9800627827644348,0.9800931215286255,0.00502280006185174,1.000331163406372,True,42,True,source_064,gated,complete
False,True,True,destructive_upper,True,True,False,True,True,True,False,True,,,0.06711068004369736,0.13752901554107666,False,-0.0010241866111755371,0.97906893491745,0.9800931215286255,0.7067594528198242,5.16908073425293,True,42,True,source_064,gated,complete
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,-0.01636895164847374,0.13752901554107666,False,4.470348358154297e-06,0.9800975918769836,0.9800931215286255,0.0032790680415928364,1.0006743669509888,True,42,True,source_064,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.051693081855773926,0.13752901554107666,False,-2.2470951080322266e-05,0.9800706505775452,0.9800931215286255,0.030138568952679634,1.0126043558120728,True,42,True,source_064,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,0.03771187365055084,0.13635411858558655,False,2.1457672119140625e-06,0.9982789754867554,0.9982768297195435,0.007898585870862007,0.9994931221008301,True,42,True,source_074,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,0.002664596540853381,0.13635411858558655,False,-7.152557373046875e-07,0.9982761144638062,0.9982768297195435,0.008654075674712658,1.0018432140350342,True,42,True,source_074,gated,complete
False,True,True,destructive_upper,True,True,False,True,True,True,False,True,,,0.06151803210377693,0.13635411858558655,False,0.00012940168380737305,0.9984062314033508,0.9982768297195435,0.7196431756019592,5.310866355895996,True,42,True,source_074,gated,complete
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,0.03771187365055084,0.13635411858558655,False,2.1457672119140625e-06,0.9982789754867554,0.9982768297195435,0.007898585870862007,0.9994931221008301,True,42,True,source_074,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.03234168514609337,0.13635411858558655,False,-8.702278137207031e-06,0.9982681274414062,0.9982768297195435,0.03262468799948692,1.0206719636917114,True,42,True,source_074,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,0.03869673237204552,0.1358625441789627,False,-1.9073486328125e-06,0.9976426959037781,0.9976446032524109,0.007898585870862007,0.9994401931762695,True,42,True,source_040,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,-0.0020427657291293144,0.1358625441789627,False,-1.6689300537109375e-06,0.9976429343223572,0.9976446032524109,0.008654075674712658,1.0021564960479736,True,42,True,source_040,gated,complete
False,True,True,destructive_upper,True,True,False,True,True,True,False,True,,,0.06304032355546951,0.1358625441789627,False,-3.30805778503418e-05,0.9976115226745605,0.9976446032524109,0.7196431756019592,5.328110218048096,True,42,True,source_040,gated,complete
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,-0.0020427657291293144,0.1358625441789627,False,-1.6689300537109375e-06,0.9976429343223572,0.9976446032524109,0.008654075674712658,1.0021564960479736,True,42,True,source_040,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.04454293102025986,0.1358625441789627,False,4.887580871582031e-06,0.9976494908332825,0.9976446032524109,0.13508673012256622,1.3784176111221313,True,42,True,source_040,gated,complete
False,True,True,latent_cosine,True,True,False,True,True,True,False,True,,,0.04974304139614105,0.13752901554107666,False,-6.252527236938477e-05,0.9800305962562561,0.9800931215286255,0.0046486081555485725,0.9988894462585449,True,42,True,source_050,gated,complete
False,True,True,semantics_preserving,True,True,False,True,True,True,False,True,,,0.009196311235427856,0.13752901554107666,False,-3.0338764190673828e-05,0.9800627827644348,0.9800931215286255,0.00502280006185174,1.000331163406372,True,42,True,source_050,gated,complete
False,True,True,destructive_upper,True,True,False,True,True,True,False,True,,,0.06711068004369736,0.13752901554107666,False,-0.0010241866111755371,0.97906893491745,0.9800931215286255,0.7067594528198242,5.16908073425293,True,42,True,source_050,gated,complete
False,True,True,random_direction,True,True,False,True,True,True,False,True,,,0.009196311235427856,0.13752901554107666,False,-3.0338764190673828e-05,0.9800627827644348,0.9800931215286255,0.00502280006185174,1.000331163406372,True,42,True,source_050,gated,complete
False,True,True,random_method,True,True,False,True,True,True,False,True,,,0.02070259489119053,0.13752901554107666,False,-1.2278556823730469e-05,0.9800808429718018,0.9800931215286255,0.2808891236782074,2.255399703979492,True,42,True,source_050,gated,complete
False,False,True,latent_cosine,False,False,False,True,True,False,False,True,,,0.035201337188482285,0.13725195825099945,False,-6.230038707144558e-11,2.9967384307383327e-07,2.997361434609047e-07,0.0043017128482460976,0.9993876814842224,True,42,False,source_011,gated,complete
False,False,True,semantics_preserving,False,False,False,True,True,False,False,True,,,0.0053053307346999645,0.13725195825099945,False,-1.0146550266654231e-10,2.9963467795823817e-07,2.997361434609047e-07,0.004773152060806751,1.0004202127456665,True,42,False,source_011,gated,complete
False,False,False,destructive_upper,False,False,False,True,True,False,False,True,,,0.06488122791051865,0.13725195825099945,False,9.044612170328037e-09,3.0878075563123275e-07,2.997361434609047e-07,0.7199212908744812,5.275608539581299,True,42,False,source_011,gated,complete
